content,clean_content
Always a fun way to pass the time! Picking up more tidbits to sprinkle into conversations! :3,always fun way pass time picking tidbits sprinkle conversations
Loved it!!! Worth a try!,loved worth try
best apps my phone ,best apps phone
I love Duolingo cause it teaches me New things like multiplying in my head and division and solving fractions in my head. I'm very grateful and I would recommend Duolingo to others,love duolingo cause teaches new things like multiplying head division solving fractions head im grateful would recommend duolingo others
"It used to be usable without the (quite expensive) super subscription, but that has changed. Watching an unskippable ad about super after every lesson is unbearably annoying, as is asking me about adding a widget to my homescreen. No means no, stop asking.",used usable without quite expensive super subscription changed watching unskippable ad super every lesson unbearably annoying asking adding widget homescreen means stop asking
good for practicing English,good practicing english
"Great app, nice and easy way to learn",great app nice easy way learn
nice I well my learning English practice so finish 1st iam 5 star rating give...,nice well learning english practice finish st iam star rating give
"actually learningGreek, Latin, and Russian very quickly UPDATE: I stopped using after they replaced people with AI",actually learninggreek latin russian quickly update stopped using replaced people ai
it even work with out wifi  wow!!!!!!!!!!!!,even work wifi wow
they made the workers ai which gets 80% of things wrong. before the ai it was perfect but now i am unattracted to it like a friend who smells bad.,made workers ai gets things wrong ai perfect unattracted like friend smells bad
I can speak fluent English now. I didn't like the ads but I understood their purpose (duolingos mission and to keep their app free for all) This is better than any other app because of the day streaks. With them you can flex to other people that you commited a whole year to Duolingo. much better than flexing something in a video game which won't get you anywhere in life,speak fluent english didnt like ads understood purpose duolingos mission keep app free better app day streaks flex people commited whole year duolingo much better flexing something video game wont get anywhere life
happy with you,happy
This application is very good for the people in difficulty,application good people difficulty
very good apps,good apps
have many bugs in the app,many bugs app
Very Nice,nice
enjoying this app,enjoying app
enjoyable lessons. Short and easy to understand.,enjoyable lessons short easy understand
too AI coded,ai coded
it's so fun and Duolingo is so funny,fun duolingo funny
just started and it's sooooo good. it makes languages fun tbh,started sooooo good makes languages fun tbh
too much helpful.,much helpful
he's coming for me ,hes coming
I like this app for english and other language s,like app english language
"Best app for people who want to learn a language, but also dont want to be scalped for money. Thanks Duolingo!",best app people want learn language also dont want scalped money thanks duolingo
app very nice.,app nice
this is very useful app i have ever seen my life.,useful app ever seen life
it's great.,great
i have been able to learn the basics of the language in a short time,able learn basics language short time
"It's very addictive, fun and helpful.",addictive fun helpful
I love this this because nich teaching and learning and talking,love nich teaching learning talking
My Dad and I are having so much fun with Duolingo thank you,dad much fun duolingo thank
you really had to turn to AI over actual people?,really turn ai actual people
hello I learnt Germany  good,hello learnt germany good
I've had Duolingo for over a decade and it's really gotten so much worse over the years. where do I start? the forums where people could talk and learn together? gone. being able to understand a mistake? pay walled. and don't get me started on the AI slop. if only the team spent as much time and effort on the actual learning experience as they do on the cringey in-app ads. I have a 1300+ day streak which is hard to let go but I refuse to give this company another dime.,ive duolingo decade really gotten much worse years start forums people could talk learn together gone able understand mistake pay walled dont get started ai slop team spent much time effort actual learning experience cringey inapp ads day streak hard let go refuse give company another dime
try this,try
I'm learning Galelic and Duolingo has me about ready to travel to Scotland to be able to read and listen to locals talk this ancient language hopefully to be able to speak back.,im learning galelic duolingo ready travel scotland able read listen locals talk ancient language hopefully able speak back
"The app doesn't provide a clear distinction between ""they"" (girls) and ""they"" (boys), hence misunderstandings, loss of ""lives"" and a lot of frustration.",app doesnt provide clear distinction girls boys hence misunderstandings loss lives lot frustration
Good for simple English learners,good simple english learners
very nice app and my English is very परफेक्ट यूजिंग टाइम,nice app english
"So far, so good; I've picked up some Spanish words, at least.",far good ive picked spanish words least
it's very good at helping me at German before I was learning Japanese and it was very good 10/10,good helping german learning japanese good
best app for learning any language basic,best app learning language basic
very nice app,nice app
what a good app is this,good app
good application,good application
It has made my mandarin so much better,made mandarin much better
I love this app so much really helpful to enhance my English speaking..,love app much really helpful enhance english speaking
This application is very helpful for learning the language.,application helpful learning language
It was an ok app to get things started when learning a new language. Being gamified helps out to build habits. But as time went on I kept noticing that the content took a massive nose dive. I felt like I wasn't learning as much as I could've unless I paid for it or devoted more time. I stick with it for over a year and I feel like I've hit a wall. With Duolingo coming out with AI and firing their actual employees I had enough. Hire more linguists along side your precious AI!,ok app get things started learning new language gamified helps build habits time went kept noticing content took massive nose dive felt like wasnt learning much couldve unless paid devoted time stick year feel like ive hit wall duolingo coming ai firing actual employees enough hire linguists along side precious ai
the best learning app in the world,best learning app world
"Very good , gets better when you get to the speaking 5 stars",good gets better get speaking stars
surely a great app to use.,surely great app use
i really like it because im learning something new every day,really like im learning something new every day
give lots of options to learn,give lots options learn
it just really helps I don't know what else to say,really helps dont know else say
"They fired most of their human contractors to replace with AI, then raised prices. Talk about killing jobs while using AI to do something intrinsically HUMAN. No more Duolingo. I am boycotting them.",fired human contractors replace ai raised prices talk killing jobs using ai something intrinsically human duolingo boycotting
the number of ads is crazy,number ads crazy
i took a class but streat didn't count. i loose 2 streak freezes even though i attend. the class,took class streat didnt count loose streak freezes even though attend class
I love duolingo  now I talk in Japanese and have fun with my friends,love duolingo talk japanese fun friends
I want to know better English,want know better english
simple way to learn english thank my dear Duolingo to help me to improve my English,simple way learn english thank dear duolingo help improve english
Really good drills into its schedule into your memory.,really good drills schedule memory
mashallah. it helps me very much,mashallah helps much
cool once I go to barça imma surprise my homies about my accent,cool go bara imma surprise homies accent
This app is very nice,app nice
learn more,learn
good english speaking,good english speaking
very nice app,nice app
it is good at all but i guess tere is some thing that I don't like other wise this is good . you can also go for this . but the way it is teaching us like a AI not like a teacher by anywhere  that's all,good guess tere thing dont like wise good also go way teaching us like ai like teacher anywhere thats
from I'm school it's been 3 yrs to me learning Deutsch but I still don't understand but in one week I'm able to do basic talks with Duolingo,im school yrs learning deutsch still dont understand one week im able basic talks duolingo
"this app is better than schools,eeally",app better schoolseeally
fatass owl,fatass owl
It's really fun learning French and having a streak.,really fun learning french streak
thank you,thank
"it's great. never given up on me, helps people engage with each other",great never given helps people engage
great app,great app
I rate it five stars cause it's super fun and good for kids like me,rate five stars cause super fun good kids like
the best,best
Thank you so much Duolingo App,thank much duolingo app
Doulingo is an amazing place for you to learn multiple types of languages and I just  love it so much.U need to use this game to learn more about it.,doulingo amazing place learn multiple types languages love muchu need use game learn
"I really like the app so interesting as I go on with my spanish lessons starting with small common things like water, and foods",really like app interesting go spanish lessons starting small common things like water foods
it's best ,best
very nice language learning you have I think it's like a game,nice language learning think like game
it's a good app,good app
nice app to learn things or english ,nice app learn things english
you can learn a lot of languages i learned japanes and im learning french,learn lot languages learned japanes im learning french
this is a good app to learn different languages,good app learn different languages
Main bird in the web now,main bird web
it's so good,good
best learning app in the world,best learning app world
I'm practicing daily very thankful,im practicing daily thankful
"easy learning , I appreciate it",easy learning appreciate
"Very nice app, bite-sized lessons are definitely easy to sneak in during the day. only problem is that recently the app's been a bit buggy, i lost my 680+ day streak because the challenge to get it back seemed to not have been recognized / recorded in the logs, although i completed it. sometimes if i lose my (current, very low) streak and use gems to repair it, it will show the previous (680+) number for a split second and then it disappears. already contacted support, to no avail.",nice app bitesized lessons definitely easy sneak day problem recently apps bit buggy lost day streak challenge get back seemed recognized recorded logs although completed sometimes lose current low streak use gems repair show previous number split second disappears already contacted support avail
"I love Duolingo, im learning japanese and I learn faster than other apps",love duolingo im learning japanese learn faster apps
"simple, fun but I wish there was an option for afrikaans",simple fun wish option afrikaans
hard but learned how to talk in piglatin,hard learned talk piglatin
It helps me along by learning how to communicate and encounter real situations but we have to get of ads,helps along learning communicate encounter real situations get ads
"very helpfull apps , keep developing and help people learning",helpfull apps keep developing help people learning
This app is so much good,app much good
This is the BEST of BEST language learning app I've had. This has great variety of languages and makes it very easy to learn. its way more easier to learn languages than other apps I've had to learn languages. definently the BEST language learning apps 5stars,best best language learning app ive great variety languages makes easy learn way easier learn languages apps ive learn languages definently best language learning apps stars
The best language learning app I have found!,best language learning app found
become better now,become better
I think their lessons are great and you also get a place to revise the words you've learnt so far,think lessons great also get place revise words youve learnt far
Great aap to learn English,great aap learn english
Really good ,really good
good app,good app
it is awesome for Learning English,awesome learning english
nice and amazing ,nice amazing
Great app for learning,great app learning
it the !!!!,
best for practical learning,best practical learning
I actually learned russian,actually learned russian
very good it's help to learn auter lauage,good help learn auter lauage
best app ever in my life to learn everything,best app ever life learn everything
I am learning very nice ,learning nice
"hi duolingo , i downloaded this app to learn thai language but im very disappointed because theres no thai language in this app , i think its nice to you to add thai language !",hi duolingo downloaded app learn thai language im disappointed theres thai language app think nice add thai language
when I was on a listen I had to repeat what it said I repeated it and I sounded exactly like what it told me to repeat and it said I got it wrong pls fix the app,listen repeat said repeated sounded exactly like told repeat said got wrong pls fix app
very fun and fantastic to learn any language.,fun fantastic learn language
perfect app for learning different languages,perfect app learning different languages
It very nice app. I love it,nice app love
NOW I AM IMPROVED IN MATHS AND I AM IMPROVE IN.ENGLISH . NOW I CAN SPEAK OR WRITE TO ANYBODY . NOW I AM BRAVE TO TALK WITH ANYBODY BECAUSE OF DUOLINGO,improved maths improve inenglish speak write anybody brave talk anybody duolingo
Nice learned this app thank you so much,nice learned app thank much
this is very good app,good app
They ruined the app. Removed the ability to practice for hearts so it is pay to use essentially. Terrible AI app. I had a 600 day streak and deleted because I'm not learning anymore.,ruined app removed ability practice hearts pay use essentially terrible ai app day streak deleted im learning anymore
very nice app,nice app
"I personally think this app is ok, I did learn new words for a language. One thing I hate is how Duolingo keeps changing their app icon just to get me to do my Spanish lessons, like, I just find that annoying, and a whole other minor annoying things, like making the super Duolingo free trial half of what it was (14 to 7 days now) and the voiceovers in the questions that you can't turn off.",personally think app ok learn new words language one thing hate duolingo keeps changing app icon get spanish lessons like find annoying whole minor annoying things like making super duolingo free trial half days voiceovers questions cant turn
very useful self-study app,useful selfstudy app
The super duolingo is not different from the normal. The app helps me a lot,super duolingo different normal app helps lot
very nice plz join this channel,nice plz join channel
Best app to learn anything I am learning spanish like it is so easy to understand any word i love this app,best app learn anything learning spanish like easy understand word love app
I really like this application,really like application
I enjoy Duolingo's support to study,enjoy duolingos support study
i love learning with duo,love learning duo
"The app is awesome, methods are amazing, speaking, listening, Reading, writing everything is perfecto Gilletto Villetto! Request: A course on Georgian.",app awesome methods amazing speaking listening reading writing everything perfecto gilletto villetto request course georgian
"nice experience,and expect more to speak .",nice experienceand expect speak
"the method of teaching is so good, really!!! Request: Course for Georgian.",method teaching good really request course georgian
"This is the best way to learn languages. I almost knew NOTHING about Japanese, now I can speak a good amount of it. Thank you Duolingo bird ",best way learn languages almost knew nothing japanese speak good amount thank duolingo bird
this app is very useful for beginners to learn some language,app useful beginners learn language
good app learning about language,good app learning language
excellent all around and great customizability,excellent around great customizability
super fun and educational!,super fun educational
it is so good lot experience in it,good lot experience
Super simple and keeps me eager and excited to learn ,super simple keeps eager excited learn
nice to learn language  ,nice learn language
it's perfect for practicing your English skill every day.,perfect practicing english skill every day
this Apps is very nice,apps nice
It is so friendly app i rate 5 out of 5,friendly app rate
I feel that this app helped me reach my goal. very nice and interactive. one thing would help is showing in English how foreign words are spelled just to make sure the pronunciation is right.,feel app helped reach goal nice interactive one thing would help showing english foreign words spelled make sure pronunciation right
to climb up the league seems impossible now,climb league seems impossible
"Filled with predatory anti-features like quick accept to spend 2000 gems (10 USD) to restore your rank on the leaderboards. I wasn't even aware anyone cared about that, their nonsense social functionality, useless AI or anything else besides streaks really.",filled predatory antifeatures like quick accept spend gems usd restore rank leaderboards wasnt even aware anyone cared nonsense social functionality useless ai anything else besides streaks really
best way to learn and enjoy,best way learn enjoy
"very interactive app, makes me want to keep learning more and more with the easy to use interface, the friendly animations and the motivation from the streaks and phrases I see time to time ! I am so grateful I can spend more time learning a language rather than scrolling content that may or may not be useful for me. This is truly the app of the century, I think more people should know about this so as to cure the scrolling sickness. Use apps for your advantage and not the other way round. Aum N",interactive app makes want keep learning easy use interface friendly animations motivation streaks phrases see time time grateful spend time learning language rather scrolling content may may useful truly app century think people know cure scrolling sickness use apps advantage way round aum n
Good for gamifying vocabulary.,good gamifying vocabulary
App has slowly become more frustrating as the company gets greedier. Every update breaks something or makes the app slower and less responsive. I'm not in the beta why is it so unstable. Also the ui is designed for you to waste gems (in app currency) in hopes that you'll eventually cave and shell out cash to buy more.,app slowly become frustrating company gets greedier every update breaks something makes app slower less responsive im beta unstable also ui designed waste gems app currency hopes youll eventually cave shell cash buy
It's really good,really good
"I'm only using the free version for now, but it's really good! walks you through everything with baby steps. highly recommended",im using free version really good walks everything baby steps highly recommended
its the absoulte beeeeesssstttt i looovveee it trust me ,absoulte beeeeesssstttt looovveee trust
this is very helpful to improve my english language.,helpful improve english language
when I started learning Korean it was getting easy but then they told me to put in I would like kimchi please even though I told them I did not know none of the words like I was a brand new starter and they giving me a hard exercise as I don't know the words in Korean?,started learning korean getting easy told put would like kimchi please even though told know none words like brand new starter giving hard exercise dont know words korean
Overall it's a good app if you wanted to learn any language.,overall good app wanted learn language
it's pretty hard but it's ok,pretty hard ok
Duolingo is the best opportunity for learning new language.,duolingo best opportunity learning new language
Duolingo is very nice app you must download This app ,duolingo nice app must download app
It’s a good App i like this,good app like
"So easy to learn. My son and I like this App. I learn Spanish, he learns Russian.",easy learn son like app learn spanish learns russian
"Starting from the beginning, it makes it fairly easy.",starting beginning makes fairly easy
nothing what I tell just amazing,nothing tell amazing
"I think this is a way language, I like it",think way language like
nice really learning German very quickly and easily.,nice really learning german quickly easily
good to learn as a game,good learn game
very helpful,helpful
this app is very good for learning and practicing english,app good learning practicing english
The audio is not recording on why I say even though I said it correctly. To 1 star to get your attention on this please. I like your app,audio recording say even though said correctly star get attention please like app
a super great language learning app. I recommend it for all who want to learn Spanish.,super great language learning app recommend want learn spanish
it's really helped me learn Russian I really think that if you're trying to learn a language try Duolingo it really helped me and I think it'll hel people other people,really helped learn russian really think youre trying learn language try duolingo really helped think itll hel people people
"It definitely helps if you're trying to practice a language you already know, and it's also great with teaching you something new. With typing, reading, and even speaking, 10/10.",definitely helps youre trying practice language already know also great teaching something new typing reading even speaking
it teaches us languages and it shows us how to say it ,teaches us languages shows us say
LIKE It's ‍‍,like
This is a very interesting app for any languages. and you can easily learn any languages using this app..,interesting app languages easily learn languages using app
good for beginners and children,good beginners children
Very nice game,nice game
"Great app, very helpful so far.",great app helpful far
This app is great! My daughter and I are learning together! It definitely makes learning so much more fun and exciting!,app great daughter learning together definitely makes learning much fun exciting
amazing. I am already fluent in Japanese and French because of this app!,amazing already fluent japanese french app
this is very good.,good
Thank YOU so much,thank much
good to learn with duoooo.....,good learn duoooo
so good app ,good app
it's a great app,great app
"I bought a timer boost, it took my money, and gave me nothing. Scam!",bought timer boost took money gave nothing scam
this app is very good ,app good
dulingo is the best app to learn English,dulingo best app learn english
this is amazing,amazing
"It's good for starters. If you do one lesson a day just to keep your streak, it takes a while to complete a level. It's very repetitive. You just practice the same words and only learn like 4-5 new words each level. Also, the reminders are very annoying. Every week or two, even if you don't continue your streak, you get a reminder. And if you do, it reminds you every day. Also, the voice thing never works, and you just lose a life for it. The ads are also annoying. I recommend this to beginners.",good starters one lesson day keep streak takes complete level repetitive practice words learn like new words level also reminders annoying every week two even dont continue streak get reminder reminds every day also voice thing never works lose life ads also annoying recommend beginners
You can no longer practice to replenish lost hearts making learning new material extremely difficult. The app pushes its paid version after every single thing you do. I casually practice when I have time and the app icon on home screen will start to have different looks turning even sick looking and it's so annoying to look at I've had to hide it lol. Unfortunately I don't believe this app is very good for free and casual users anymore.,longer practice replenish lost hearts making learning new material extremely difficult app pushes paid version every single thing casually practice time app icon home screen start different looks turning even sick looking annoying look ive hide lol unfortunately dont believe app good free casual users anymore
You get to learn so many different languages and there is alot of support saying you can do this on the app Duolingo and i highly recommend it,get learn many different languages alot support saying app duolingo highly recommend
it's nice,nice
"Really a good app, to learn basic convo.",really good app learn basic convo
it's feels like learning english while playing,feels like learning english playing
it's really fun and educational! I would recommend it to everyone who is curious in another language ,really fun educational would recommend everyone curious another language
I've been kidnapped and forced by the Duolingo bird to say that this app is great please help me,ive kidnapped forced duolingo bird say app great please help
really fun and I am learning so much definitely recommend,really fun learning much definitely recommend
it's awesome I learned a lot of stuff so far from Koroen and french,awesome learned lot stuff far koroen french
"I love duolingo! the lessons r truly some of if not the best most interesting lessons, BABBEL COULD NEVER.",love duolingo lessons r truly best interesting lessons babbel could never
this is a good app and and this shows a bunch of languages and it shows me how to talk in different ways like Italian and Chinese and other languages so l like that it has ads because the ads are from the app so thank you doulingo for teaching me different languages it's so fun to learn different languages from this app like they have like you are in 2nd place or 1st place so that's why l like it so so much that is crazy       so thank you so much doulingo for these languages lol,good app shows bunch languages shows talk different ways like italian chinese languages l like ads ads app thank doulingo teaching different languages fun learn different languages app like like nd place st place thats l like much crazy thank much doulingo languages lol
It's really fun and educational,really fun educational
"Great way to learn new languages. Unfortunately, it doesn't always start with the absolute basics.",great way learn new languages unfortunately doesnt always start absolute basics
very gooooood app. I passed my bba,gooooood app passed bba
Why isn't this app updated for Android users? I (Android user) have been using this app longer than my husband (iPhone user). And he has a lot more activity options than I do. This is really annoying.,isnt app updated android users android user using app longer husband iphone user lot activity options really annoying
"Duolingo has helped my international speaking significantly. It is a very helpful app for those who are trying to learn a new language. For fun, or for education!",duolingo helped international speaking significantly helpful app trying learn new language fun education
good ..... interested...,good interested
"The app is excellent for learning new language but I was disappointed to see Haitian creole but not Louisiana creole, I know they are basically the same but still...",app excellent learning new language disappointed see haitian creole louisiana creole know basically still
duolingo is a great app for beginners..I love the way of learning.. it feels like a game..and its free ..which is amazing! :),duolingo great app beginnersi love way learning feels like gameand free amazing
"if you are wanting to learn to speak after language, choose a different app. this one forces you to spell rather than ask you what your goal is. it does not explain grammar.",wanting learn speak language choose different app one forces spell rather ask goal explain grammar
