content,score,at
we can learn some language only i wanna to learn punjabi but isn't available,2,2025-07-21 10:47:36
Bro download it it's so useful app like what 🙃,5,2025-07-21 10:45:59
Use dulling and NOTHING else! it's easy to learn the language your learning I recommend it! 👍,5,2025-07-21 10:42:27
good 💯,5,2025-07-21 10:42:18
very good aap for learning new language,5,2025-07-21 10:39:58
This app is my favorite,5,2025-07-21 10:39:22
"I am ending my 727 day streak, cancelling my Super membership, and deleting the app after three years straight of being a dedicated fan. I have been using Duolingo since January of 2023, ever since I met my husband. We are incredibly disappointed with their replacing of human employees for cheap and buggy artificial intelligence. This is not how teaching or learning or language should work. Please do not support the use of AI by Duolingo.",1,2025-07-21 10:39:09
this app is awesome 👌,5,2025-07-21 10:37:29
good,5,2025-07-21 10:37:08
Would Best app,5,2025-07-21 10:34:59
I like Duolingo it's easy to help learn a language,5,2025-07-21 10:34:37
"Excellent so far, but would have been nice to get a lesson for the alphabet to know which letters and letter combinations made which sounds with my languages. Would also be nice to have a glossaries with the word pronunciations and meanings for them. Fun learning tool though, and I would recommend to anyone.",4,2025-07-21 10:33:20
it is very useful to us.please don't miss it,5,2025-07-21 10:32:11
This is Good ❤️,5,2025-07-21 10:30:54
good.,5,2025-07-21 10:29:42
nice app,5,2025-07-21 10:28:55
"it's easy to understand any language i appreciate, thank duoling to help me to learn Japanese",4,2025-07-21 10:28:19
good,4,2025-07-21 10:27:41
this app is good for leaner every exercise easily to understand when you incorrect it give you chance to correct mistake,5,2025-07-21 10:23:18
amazing helping me learn German but one think I don't like is the ads,4,2025-07-21 10:21:30
grateful,5,2025-07-21 10:20:54
I am Telling Current Answers But Audio Not receiving. Thankyou 🙂,2,2025-07-21 10:20:24
my Spanish is way better now,5,2025-07-21 10:20:07
not good,1,2025-07-21 10:19:56
so butiful app,5,2025-07-21 10:18:44
it's help with learning about all language,5,2025-07-21 10:17:15
it's very helpful,5,2025-07-21 10:16:54
"So far, (early stages), easy ⁹ to learn and confidence building.",5,2025-07-21 10:16:38
I did not know it!!! It's amazing 😊😊😊😊😊😊😊😊😊😊😊,4,2025-07-21 10:15:34
very good application.,5,2025-07-21 10:11:44
best thing an funny duolingo,5,2025-07-21 10:11:25
Very good app much better than Iggy poyy this app help to practice other languages,5,2025-07-21 10:04:34
"I love it, Duolingo helps a lot and I can contact some friends. Now I can speak a bit more fluently.😁😆.",5,2025-07-21 10:03:39
Best friend is Duolingo 🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻,5,2025-07-21 10:02:57
nice 👍,5,2025-07-21 10:01:44
Nice app,5,2025-07-21 10:00:56
Always a fun way to pass the time! Picking up more tidbits to sprinkle into conversations! :3,5,2025-07-21 10:00:27
बहुत अच्छा है यह ऐप,5,2025-07-21 09:59:15
Loved it!!! Worth a try!,5,2025-07-21 09:58:22
nice,5,2025-07-21 09:55:15
best apps my phone 💪🏻,5,2025-07-21 09:55:09
I love Duolingo cause it teaches me New things like multiplying in my head and division and solving fractions in my head. I'm very grateful and I would recommend Duolingo to others😀😀,5,2025-07-21 09:54:01
"It used to be usable without the (quite expensive) super subscription, but that has changed. Watching an unskippable ad about super after every lesson is unbearably annoying, as is asking me about adding a widget to my homescreen. No means no, stop asking.",2,2025-07-21 09:53:52
keeps me consistent,4,2025-07-21 09:53:36
good for practicing English,4,2025-07-21 09:52:54
"Great app, nice and easy way to learn",5,2025-07-21 09:52:38
nice I well my learning English practice so finish 1st iam 5 star rating give...,2,2025-07-21 09:51:17
"actually learningGreek, Latin, and Russian very quickly UPDATE: I stopped using after they replaced people with AI",1,2025-07-21 09:47:19
it even work with out wifi 😀😃😄😁😆 wow!!!!!!!!!!!!,4,2025-07-21 09:45:05
"BENER BENER NGEBANTUUU BANGETT, meskipun ini yang basic yaa tapi tolong adain penjelasan nya jugaa",5,2025-07-21 09:43:46
they made the workers ai which gets 80% of things wrong. before the ai it was perfect but now i am unattracted to it like a friend who smells bad.,1,2025-07-21 09:43:09
I can speak fluent English now. I didn't like the ads but I understood their purpose (duolingos mission and to keep their app free for all) This is better than any other app because of the day streaks. With them you can flex to other people that you commited a whole year to Duolingo. much better than flexing something in a video game which won't get you anywhere in life,5,2025-07-21 09:43:04
good,5,2025-07-21 09:41:16
happy with you,5,2025-07-21 09:39:40
This application is very good for the people in difficulty,5,2025-07-21 09:38:30
very good apps,5,2025-07-21 09:35:11
have many bugs in the app,1,2025-07-21 09:33:51
Very Nice,5,2025-07-21 09:33:48
very nice aap,5,2025-07-21 09:33:07
enjoying this app,5,2025-07-21 09:32:24
enjoyable lessons. Short and easy to understand.,5,2025-07-21 09:32:00
too AI coded,2,2025-07-21 09:31:40
it's so fun and Duolingo is so funny😆,5,2025-07-21 09:31:31
great lerning stratgey,5,2025-07-21 09:29:44
just started and it's sooooo good. it makes languages fun tbh☺️🤭,5,2025-07-21 09:28:44
good,5,2025-07-21 09:26:20
too much helpful.,5,2025-07-21 09:25:41
👍,5,2025-07-21 09:24:32
he's coming for me 😭😭😭,5,2025-07-21 09:20:19
I like this app for english and other language s,5,2025-07-21 09:20:18
"Best app for people who want to learn a language, but also dont want to be scalped for money. Thanks Duolingo!",5,2025-07-21 09:19:31
app very nice.,5,2025-07-21 09:19:23
this is very useful app i have ever seen my life.,4,2025-07-21 09:18:43
thank you duo,5,2025-07-21 09:18:26
it's great.,5,2025-07-21 09:12:40
i have been able to learn the basics of the language in a short time,5,2025-07-21 09:12:17
"It's very addictive, fun and helpful.",4,2025-07-21 09:10:48
I love this this because nich teaching and learning and talking,5,2025-07-21 09:08:01
My Dad and I are having so much fun with Duolingo thank you,5,2025-07-21 09:05:59
you really had to turn to AI over actual people?,1,2025-07-21 09:04:59
hello I learnt Germany 🇩🇪 good,5,2025-07-21 09:04:13
I've had Duolingo for over a decade and it's really gotten so much worse over the years. where do I start? the forums where people could talk and learn together? gone. being able to understand a mistake? pay walled. and don't get me started on the AI slop. if only the team spent as much time and effort on the actual learning experience as they do on the cringey in-app ads. I have a 1300+ day streak which is hard to let go but I refuse to give this company another dime.,1,2025-07-21 09:03:25
try this,5,2025-07-21 09:01:37
nice app,5,2025-07-21 09:00:47
I'm learning Galelic and Duolingo has me about ready to travel to Scotland to be able to read and listen to locals talk this ancient language hopefully to be able to speak back.,5,2025-07-21 09:00:47
im happy 😊😊😊,5,2025-07-21 09:00:33
Good,5,2025-07-21 08:59:32
Very dangerous! !,5,2025-07-21 08:59:06
bagus walau masih bingung kadang terjemahan korea ke indo nguwawor cik,5,2025-07-21 08:58:24
"The app doesn't provide a clear distinction between ""they"" (girls) and ""they"" (boys), hence misunderstandings, loss of ""lives"" and a lot of frustration.",3,2025-07-21 08:58:08
Good for simple English learners,4,2025-07-21 08:57:16
very nice app and my English is very परफेक्ट यूजिंग टाइम,5,2025-07-21 08:56:44
very very good app,5,2025-07-21 08:56:37
"So far, so good; I've picked up some Spanish words, at least.",5,2025-07-21 08:55:58
amezing,5,2025-07-21 08:55:53
it's very good at helping me at German before I was learning Japanese and it was very good 10/10,5,2025-07-21 08:55:28
best app for learning any language basic,5,2025-07-21 08:55:21
very nice app✨,5,2025-07-21 08:55:13
what a good app is this,5,2025-07-21 08:55:03
good👍 application,5,2025-07-21 08:54:40
good👍,5,2025-07-21 08:54:30
It has made my mandarin so much better😃,5,2025-07-21 08:54:11
I love this app so much really helpful to enhance my English speaking..,5,2025-07-21 08:52:37
This application is very helpful for learning the language.,5,2025-07-21 08:52:29
It was an ok app to get things started when learning a new language. Being gamified helps out to build habits. But as time went on I kept noticing that the content took a massive nose dive. I felt like I wasn't learning as much as I could've unless I paid for it or devoted more time. I stick with it for over a year and I feel like I've hit a wall. With Duolingo coming out with AI and firing their actual employees I had enough. Hire more linguists along side your precious AI!,1,2025-07-21 08:52:29
the best learning app in the world❤️❤️❤️❤️,5,2025-07-21 08:50:49
"Very good , gets better when you get to the speaking 5 stars",5,2025-07-21 08:50:04
surely a great app to use.,5,2025-07-21 08:49:58
i really like it because im learning something new every day,5,2025-07-21 08:49:07
give lots of options to learn,3,2025-07-21 08:48:15
it just really helps I don't know what else to say,5,2025-07-21 08:46:18
"They fired most of their human contractors to replace with AI, then raised prices. Talk about killing jobs while using AI to do something intrinsically HUMAN. No more Duolingo. I am boycotting them.",1,2025-07-21 08:45:11
the number of ads is crazy,1,2025-07-21 08:44:26
perfect,5,2025-07-21 08:44:26
i took a class but streat didn't count. i loose 2 streak freezes even though i attend. the class,3,2025-07-21 08:41:46
I love duolingo 🩷 now I talk in Japanese and have fun with my friends,5,2025-07-21 08:40:33
I want to know better English,5,2025-07-21 08:40:28
simple way to learn english thank my dear Duolingo to help me to improve my English,5,2025-07-21 08:40:09
Really good drills into its schedule into your memory.,5,2025-07-21 08:40:02
mashallah. it helps me very much,5,2025-07-21 08:39:55
cool once I go to barça imma surprise my homies about my accent,4,2025-07-21 08:37:05
This app is very nice,3,2025-07-21 08:36:57
learn more,2,2025-07-21 08:36:34
good english speaking,5,2025-07-21 08:36:07
very nice app,5,2025-07-21 08:34:37
it is good at all but i guess tere is some thing that I don't like other wise this is good . you can also go for this . but the way it is teaching us like a AI not like a teacher by anywhere 😊 that's all,4,2025-07-21 08:33:45
super 😍,5,2025-07-21 08:33:20
from I'm school it's been 3 yrs to me learning Deutsch but I still don't understand but in one week I'm able to do basic talks with Duolingo,5,2025-07-21 08:32:39
"this app is better than schools,eeally",5,2025-07-21 08:32:24
fatass owl,1,2025-07-21 08:31:21
amazing app 😁🤍,5,2025-07-21 08:31:08
It's really fun learning French and having a streak.,5,2025-07-21 08:30:18
thank you,5,2025-07-21 08:30:02
"it's great. never given up on me, helps people engage with each other",5,2025-07-21 08:29:52
great app,5,2025-07-21 08:27:39
I rate it five stars cause it's super fun and good for kids like me,5,2025-07-21 08:27:26
fill like wow,5,2025-07-21 08:23:37
amezing,5,2025-07-21 08:23:36
the best,5,2025-07-21 08:22:42
Thank you so much Duolingo App,5,2025-07-21 08:22:26
すごいですね、私は日本語を勉強してきました,5,2025-07-21 08:19:52
Doulingo is an amazing place for you to learn multiple types of languages and I just ❤️ love it so much.U need to use this game to learn more about it.,5,2025-07-21 08:19:34
"I really like the app so interesting as I go on with my spanish lessons starting with small common things like water, and foods✌✌",4,2025-07-21 08:19:01
good,4,2025-07-21 08:18:35
it's best 💙,5,2025-07-21 08:18:08
interesting,4,2025-07-21 08:18:07
very nice language learning you have I think it's like a game,5,2025-07-21 08:16:42
it's a good app,5,2025-07-21 08:16:22
nice app to learn things or english 👍🏻,5,2025-07-21 08:14:52
you can learn a lot of languages i learned japanes and im learning french,5,2025-07-21 08:14:45
this is a good app to learn different languages,5,2025-07-21 08:14:23
good,5,2025-07-21 08:14:21
Main bird in the web now,5,2025-07-21 08:14:08
it's so good,5,2025-07-21 08:13:42
best learning app in the world,5,2025-07-21 08:12:54
I'm practicing daily very thankful,4,2025-07-21 08:12:37
"easy learning , I appreciate it",5,2025-07-21 08:12:05
"Very nice app, bite-sized lessons are definitely easy to sneak in during the day. only problem is that recently the app's been a bit buggy, i lost my 680+ day streak because the challenge to get it back seemed to not have been recognized / recorded in the logs, although i completed it. sometimes if i lose my (current, very low) streak and use gems to repair it, it will show the previous (680+) number for a split second and then it disappears. already contacted support, to no avail.",3,2025-07-21 08:11:19
"I love Duolingo, im learning japanese and I learn faster than other apps",5,2025-07-21 08:10:39
"simple, fun but I wish there was an option for afrikaans",5,2025-07-21 08:10:34
فيه جمل غير اخلاقية وتحرظ على الانحلال الخلقي، ويدعم الشواذ,1,2025-07-21 08:10:25
nice app 👍🏻,5,2025-07-21 08:09:55
hard but learned how to talk in piglatin,3,2025-07-21 08:09:35
It helps me along by learning how to communicate and encounter real situations but we have to get of ads,4,2025-07-21 08:09:29
best,5,2025-07-21 08:07:20
"very helpfull apps , keep developing and help people learning",5,2025-07-21 08:07:14
This app is so much good,5,2025-07-21 08:07:14
This is the BEST of BEST language learning app I've had. This has great variety of languages and makes it very easy to learn. its way more easier to learn languages than other apps I've had to learn languages. definently the BEST language learning apps 5stars,5,2025-07-21 08:05:47
The best language learning app I have found!,5,2025-07-21 08:05:44
become better now,5,2025-07-21 08:04:51
I think their lessons are great and you also get a place to revise the words you've learnt so far,5,2025-07-21 08:04:34
very bad,1,2025-07-21 08:04:02
amazing 👏 🙀,5,2025-07-21 08:03:55
Great aap to learn English,5,2025-07-21 08:02:09
Really good 👍🏻,5,2025-07-21 08:01:17
best app,5,2025-07-21 08:00:55
super app,5,2025-07-21 08:00:08
good app,5,2025-07-21 07:58:44
it is awesome for Learning English,4,2025-07-21 07:56:47
excellent,5,2025-07-21 07:53:07
most useful app,5,2025-07-21 07:52:54
nice and amazing 😍,5,2025-07-21 07:51:52
Great app for learning,5,2025-07-21 07:51:03
it the 𝔟𝔢𝔰𝔱!!!!,5,2025-07-21 07:50:41
best for practical learning,5,2025-07-21 07:49:50
I actually learned russian,5,2025-07-21 07:49:35
very good it's help to learn auter lauage,4,2025-07-21 07:47:30
best app ever in my life to learn everything,5,2025-07-21 07:47:21
I am learning very nice 👍,5,2025-07-21 07:47:05
"hi duolingo , i downloaded this app to learn thai language but im very disappointed because theres no thai language in this app , i think its nice to you to add thai language !",2,2025-07-21 07:45:38
when I was on a listen I had to repeat what it said I repeated it and I sounded exactly like what it told me to repeat and it said I got it wrong pls fix the app,1,2025-07-21 07:45:22
very fun and fantastic to learn any language.,5,2025-07-21 07:45:19
भाई इससे अच्छा ऐप जो भाषा सिखाता है मैने नहीं देखा इसे एक बार जरूर ट्राई करे,5,2025-07-21 07:44:00
perfect app for learning different languages,5,2025-07-21 07:43:57
Es gehts!,5,2025-07-21 07:42:58
very good,5,2025-07-21 07:42:45
আমার অনেক ভালো লাগছে ইংলিশ শুকিয়ে পেরে,5,2025-07-21 07:42:07
It very nice app. I love it,5,2025-07-21 07:41:40
NOW I AM IMPROVED IN MATHS AND I AM IMPROVE IN.ENGLISH . NOW I CAN SPEAK OR WRITE TO ANYBODY . NOW I AM BRAVE TO TALK WITH ANYBODY BECAUSE OF DUOLINGO,5,2025-07-21 07:41:35
best,5,2025-07-21 07:40:00
شكرا عمل ممتاز اعجبني وشغال عليه وتعلمت منه كتير,5,2025-07-21 07:39:42
Nice learned this app thank you so much,2,2025-07-21 07:39:41
this is very good app,5,2025-07-21 07:38:49
They ruined the app. Removed the ability to practice for hearts so it is pay to use essentially. Terrible AI app. I had a 600 day streak and deleted because I'm not learning anymore.,1,2025-07-21 07:37:15
very nice app,4,2025-07-21 07:36:57
"I personally think this app is ok, I did learn new words for a language. One thing I hate is how Duolingo keeps changing their app icon just to get me to do my Spanish lessons, like, I just find that annoying, and a whole other minor annoying things, like making the super Duolingo free trial half of what it was (14 to 7 days now) and the voiceovers in the questions that you can't turn off.",3,2025-07-21 07:36:01
Amazing app,5,2025-07-21 07:36:01
very useful self-study app,5,2025-07-21 07:32:37
The super duolingo is not different from the normal. The app helps me a lot,4,2025-07-21 07:32:23
πολύ καλό και το δωρεάν,5,2025-07-21 07:32:21
very nice plz join this channel,5,2025-07-21 07:31:58
bahut achcha app hai bhai,5,2025-07-21 07:31:13
wow,1,2025-07-21 07:30:18
Best app to learn anything I am learning spanish like it is so easy to understand any word i love this app,5,2025-07-21 07:29:21
Acha hai,5,2025-07-21 07:29:16
nice 🙂,5,2025-07-21 07:28:37
I really like this application,4,2025-07-21 07:27:28
I enjoy Duolingo's support to study,5,2025-07-21 07:26:23
i love learning with duo,5,2025-07-21 07:25:19
nice,5,2025-07-21 07:23:24
"The app is awesome, methods are amazing, speaking, listening, Reading, writing everything is perfecto Gilletto Villetto!❤❤❤ Request: A course on Georgian.",5,2025-07-21 07:22:05
"nice experience,and expect more to speak .",5,2025-07-21 07:19:17
"the method of teaching is so good, really!!!😍❤️ Request: Course for Georgian.",5,2025-07-21 07:18:34
"This is the best way to learn languages. I almost knew NOTHING about Japanese, now I can speak a good amount of it. Thank you Duolingo bird 👍🐦",5,2025-07-21 07:16:57
this app is very useful for beginners to learn some language,5,2025-07-21 07:16:37
good app learning about language,5,2025-07-21 07:16:36
Estoy disfrutando mucho esto. Ahora estoy aprendiendo español y ruso.,5,2025-07-21 07:16:11
"Gran aplicación, didáctica te dan ganas de regresar cada día a tomar tu lección.",5,2025-07-21 07:14:39
excellent all around and great customizability,5,2025-07-21 07:11:42
pefect app,5,2025-07-21 07:11:23
good,4,2025-07-21 07:09:52
super fun and educational!,5,2025-07-21 07:09:13
it is so good lot experience in it,5,2025-07-21 07:08:53
Super simple and keeps me eager and excited to learn ☺️,5,2025-07-21 07:07:50
nice to learn language 😉 😺,5,2025-07-21 07:06:46
it's perfect for practicing your English skill every day.,5,2025-07-21 07:04:06
Good,5,2025-07-21 07:02:50
meanie,1,2025-07-21 07:00:25
está genial pero no me captura,1,2025-07-21 06:59:38
this Apps is very nice🥰,5,2025-07-21 06:58:38
Add Uzbek Language,1,2025-07-21 06:58:35
Wow!,5,2025-07-21 06:56:21
It is so friendly app i rate 5 out of 5,5,2025-07-21 06:54:17
I feel that this app helped me reach my goal. very nice and interactive. one thing would help is showing in English how foreign words are spelled just to make sure the pronunciation is right.,5,2025-07-21 06:52:54
to climb up the league seems impossible now,3,2025-07-21 06:52:07
"Filled with predatory anti-features like quick accept to spend 2000 gems (10 USD) to restore your rank on the leaderboards. I wasn't even aware anyone cared about that, their nonsense social functionality, useless AI or anything else besides streaks really.",1,2025-07-21 06:49:58
best way to learn and enjoy,5,2025-07-21 06:48:09
"very interactive app, makes me want to keep learning more and more with the easy to use interface, the friendly animations and the motivation from the streaks and phrases I see time to time ! I am so grateful I can spend more time learning a language rather than scrolling content that may or may not be useful for me. This is truly the app of the century, I think more people should know about this so as to cure the scrolling sickness. Use apps for your advantage and not the other way round. Aum N",5,2025-07-21 06:46:12
Good for gamifying vocabulary.,5,2025-07-21 06:46:02
App has slowly become more frustrating as the company gets greedier. Every update breaks something or makes the app slower and less responsive. I'm not in the beta why is it so unstable. Also the ui is designed for you to waste gems (in app currency) in hopes that you'll eventually cave and shell out cash to buy more.,2,2025-07-21 06:45:40
nice app 😁,4,2025-07-21 06:43:02
It's really good,5,2025-07-21 06:42:56
"I'm only using the free version for now, but it's really good! walks you through everything with baby steps. highly recommended",5,2025-07-21 06:42:25
"Muchas veces indica que un ejercicio te dará una cantidad de EXP y luego da menos, la app falla y aunque dice que no perderás la racha ni nada, al final pierdes los bonos vespertinos o nocturnos. aún tiene errores semánticos y no acepta sinómimos. En matemáticas pasé los únicos 2 niveles que tiene implementado y me hace repetirlos, los pone en los desafíos pero no suman casi nada de experiencia. Si vale rescatar que, al ser una app gratuita, te permite mantener la práctica de un idioma",2,2025-07-21 06:42:25
its the absoulte beeeeesssstttt i looovveee it trust me 😊😊😊😊😊😊😇,5,2025-07-21 06:41:39
this is very helpful to improve my english language.,5,2025-07-21 06:40:58
when I started learning Korean it was getting easy but then they told me to put in I would like kimchi please even though I told them I did not know none of the words like I was a brand new starter and they giving me a hard exercise as I don't know the words in Korean?,1,2025-07-21 06:39:55
Overall it's a good app if you wanted to learn any language.,5,2025-07-21 06:39:12
it's pretty hard but it's ok,5,2025-07-21 06:37:14
